date,open,high,low,close,volume,vwap,Returns
09/13/2013 15:01:26,1681.25,1681.5,1680.25,1680.75,21170,1680.893966,0.000743163
09/13/2013 15:13:37,1680.75,1682.25,1680.75,1682,21232,1681.552209,0.008254717
09/15/2013 17:00:24,1682,1696.25,1681.75,1696,21121,1688.064521,0.001324893
09/15/2013 17:10:29,1696,1701.5,1695.25,1698.25,20934,1697.682442,0.00220329
09/15/2013 17:42:15,1698.5,1702.5,1698.25,1702,20970,1699.616178,-0.000882094
09/15/2013 18:47:07,1702,1703.75,1700.25,1700.5,20980,1701.77581,-0.000147037
09/15/2013 22:27:06,1700.25,1701,1699,1700.25,20993,1699.820702,-0.000588495
09/16/2013 2:00:11,1700.25,1701,1698.5,1699.25,20981,1699.59312,-0.000588841
09/16/2013 2:37:51,1699.25,1699.25,1697.5,1698.25,20990,1698.211922,0.002056706
09/16/2013 3:24:51,1698.25,1702.5,1698.25,1701.75,20927,1700.480551,-0.000587976
09/16/2013 5:10:18,1702,1702.5,1699.75,1700.75,20984,1701.223313,-0.000588322
09/16/2013 6:41:26,1700.75,1701,1699,1699.75,20943,1699.942129,-0.001030624
09/16/2013 7:45:32,1699.75,1700,1698,1698,20979,1699.049883,0.000588582
09/16/2013 8:15:43,1698,1699.5,1697.5,1699,20973,1698.439065,0.000441241
09/16/2013 8:30:30,1699,1700,1699,1699.75,21013,1699.493516,-0.000883262
09/16/2013 8:32:36,1699.75,1700.5,1698,1698.25,20969,1699.359209,-0.000441826
09/16/2013 8:35:33,1698.25,1698.5,1697.25,1697.5,20969,1697.768563,-0.000884434
09/16/2013 8:37:35,1697.5,1697.5,1696,1696,21039,1696.896347,0
09/16/2013 8:40:29,1696,1696.75,1695.5,1696,20999,1696.223892,-0.000737572
09/16/2013 8:42:05,1696,1696.25,1694.5,1694.75,21030,1695.194306,-0.000295116
09/16/2013 8:44:58,1694.75,1695.75,1694.25,1694.25,21027,1695.150545,0.000442478
09/16/2013 8:48:55,1694.25,1695,1694,1695,21033,1694.520741,0
09/16/2013 8:52:06,1695,1696,1694.75,1695,21030,1695.500297,-0.000738007
09/16/2013 8:56:44,1695,1695.5,1693.5,1693.75,21008,1694.537105,0.000442608
09/16/2013 9:01:32,1693.75,1695.25,1693.5,1694.5,21055,1694.286001,-0.001181684
09/16/2013 9:03:07,1694.5,1695.25,1692,1692.5,21066,1693.276037,0.000295334
09/16/2013 9:05:33,1692.5,1693.75,1691.75,1693,21044,1692.694961,0.000590319
09/16/2013 9:09:22,1693,1694.25,1692.75,1694,21052,1693.69795,0.000589971
09/16/2013 9:16:06,1694,1695.5,1693.25,1695,21017,1694.247431,0.000147471
